grade,direction_value,surface_value,cond_range,race_distance,race_type,median_winner_time,upper_quartile_winner_time,lower_quartile_winner_time,median_top3_time,upper_quartile_top3_time,lower_quartile_top3_time
A,LeftTurning,Dirt,0.25,11,Maiden,143.21166374537347,143.3161811245007,142.84753799454285,143.83076115459355,144.09548265012302,143.70923804935654
A,LeftTurning,Dirt,0.25,11,RestrictedStakes,141.76612060869786,141.9735858165627,141.20700472718514,142.0320610784982,142.6077261654546,141.87832746874273
A,LeftTurning,Dirt,0.25,12,Allowance,155.58569737650697,156.28833590622983,154.91237168674377,156.0004996717874,157.12227412503452,155.68491396917497
A,LeftTurning,Dirt,0.25,12,Claiming,156.6391675833961,156.78134213511308,156.49699303167915,158.14061148965135,158.52571518621838,157.75550779308435
A,LeftTurning,Dirt,0.25,12,Maiden,156.69798304138942,156.78214184166762,156.59906725238102,157.23745527157644,157.75998158039852,156.9793356059628
A,LeftTurning,Dirt,0.25,12,RestrictedStakes,155.18447958947704,155.50790588373792,155.0378097200231,155.9224579761579,156.18848097288,155.56764444405337
A,LeftTurning,Dirt,0.5,4,Allowance,45.9387377167458,46.140002703846996,45.82112166778046,46.18401113205025,46.236781286127396,46.10146221151463
A,LeftTurning,Dirt,0.5,4,Claiming,46.48881011654785,46.55928284285074,46.41833739024496,46.62497481253291,46.63438830855239,46.615561316513435
A,LeftTurning,Dirt,0.5,4,Maiden,46.37210266702209,46.40411085180217,46.32565484482357,46.67670156548628,46.94265807373144,46.440668030211754
A,LeftTurning,Dirt,0.5,4,RestrictedStakes,45.959145371211605,46.06548683446389,45.78770691702428,46.16690924578856,46.48745539195942,46.02680300896523
A,LeftTurning,Dirt,0.5,5,Allowance,58.624949415549615,58.64095921900454,58.37633135575139,58.91324772449287,59.115105082865675,58.793889623779684
A,LeftTurning,Dirt,0.5,5,Claiming,59.4054114611029,59.54521796163952,59.157927965286106,59.54504348846058,59.871382030550286,59.41411047225593
A,LeftTurning,Dirt,0.5,5,Maiden,59.12100766888421,59.20626047187958,59.02218474256122,59.42108140702194,59.53975548857301,59.324855355392316
A,LeftTurning,Dirt,0.5,5,RestrictedStakes,58.66141433856638,58.80790738044935,58.33378880728328,58.924635324046335,59.05538788599345,58.76336836110237
A,LeftTurning,Dirt,0.5,6,Allowance,70.60141007067,70.88021700809799,70.45095794221588,71.10322095524565,71.39214032149437,70.89621968967771
A,LeftTurning,Dirt,0.5,6,Claiming,70.96898652417867,71.07132832225317,70.93785771486623,71.44083323570354,71.46283738050073,71.3772138215082
A,LeftTurning,Dirt,0.5,6,Maiden,71.3390276475904,71.38463000284874,71.2661530871741,71.70947924291148,71.73859926151529,71.61239228449139
A,LeftTurning,Dirt,0.5,6,RestrictedStakes,70.67841238429051,70.93486351322856,70.52708144169071,71.11630016475783,71.20172930773869,70.72568591519321
A,LeftTurning,Dirt,0.5,7,Allowance,84.69759910406967,84.76127124087968,84.661879305045,84.85052035942545,85.04256121904254,84.60586035755819
A,LeftTurning,Dirt,0.5,7,Claiming,85.02302504032835,85.17047146945424,84.71337527104181,85.50702040179316,85.54156075010341,85.50043750164416
A,LeftTurning,Dirt,0.5,7,Maiden,84.87774718002878,85.17831451669599,84.75642418827377,85.36572787249835,85.47343926094234,85.2528959919843
A,LeftTurning,Dirt,0.5,7,RestrictedStakes,84.7088938127637,84.83865665904258,84.5305853297213,85.01248591925588,85.26525096841641,84.86683121758101
A,LeftTurning,Dirt,0.5,8,Allowance,97.92727753831522,98.39691538359612,97.77013415608815,98.5740093529352,98.578673643206,98.53451173238304
A,LeftTurning,Dirt,0.5,8,Claiming,98.80391214199994,99.06689365628833,98.66443802649846,100.10684476413851,100.45333468642606,99.49947631068098
A,LeftTurning,Dirt,0.5,8,Maiden,98.9001396083276,99.03358716592486,98.80746041541761,99.48583801873119,99.6300565689418,99.27277659606284
A,LeftTurning,Dirt,0.5,8,RestrictedStakes,98.59269484258762,98.77316723852464,98.09133024408236,98.52167170104428,98.7730542482089,98.43857523719525
A,LeftTurning,Dirt,0.5,9,Allowance,112.53350329467862,112.61547138840491,112.16333766522168,113.44011782658582,113.68636242911884,112.99351708861765
A,LeftTurning,Dirt,0.5,9,Claiming,113.0290022001706,113.0290022001706,113.0290022001706,,,
A,LeftTurning,Dirt,0.5,9,Maiden,112.887101303,113.03879369582128,112.54187751223671,113.41235887223368,113.78070487654767,113.13097229188901
A,LeftTurning,Dirt,0.5,9,RestrictedStakes,111.79483623550263,112.04749345306405,111.6006800534079,112.18643658692608,112.46353626830482,112.1769272343928
A,LeftTurning,Dirt,0.5,10,Allowance,126.20220442190603,126.7856980930487,125.91640844918635,126.36305269627746,126.79512053275619,126.16689917527953
A,LeftTurning,Dirt,0.5,10,Claiming,,,,,,
A,LeftTurning,Dirt,0.5,10,Maiden,126.27492663783184,126.36250174516881,126.19860439200872,126.80225846554104,126.87497576772928,126.57878720302446
A,LeftTurning,Dirt,0.5,10,RestrictedStakes,125.34910219511085,125.72091825049205,125.1324225245502,126.02044481368364,126.41192335776846,125.47540234573302
A,LeftTurning,Dirt,0.5,11,Allowance,140.38305987835128,140.67391516702034,140.1340222807876,142.14702670408695,142.243501770623,141.9436650505018
A,LeftTurning,Dirt,0.5,11,Claiming,141.89355512074985,142.1374893161628,141.68643070341898,142.72881998614247,143.19369448294145,142.59120260518026
A,LeftTurning,Dirt,0.5,11,Maiden,141.82272853638426,142.22655441024983,141.63264949247744,142.53916318759423,142.7877103913076,142.0552143087819
A,LeftTurning,Dirt,0.5,11,RestrictedStakes,140.5114100638747,141.022614205872,140.37618600332544,141.21199608487623,141.7444612640174,141.00618181892335
A,LeftTurning,Dirt,0.5,12,Allowance,153.56957837085068,153.88551311519686,153.2788362507273,154.25252830245282,154.2749045883454,153.93274133255056
A,LeftTurning,Dirt,0.5,12,Claiming,153.97942775971185,153.97942775971185,153.97942775971185,155.04136935475626,155.04136935475626,155.04136935475626
A,LeftTurning,Dirt,0.5,12,Maiden,154.6436449760787,154.9896748479472,154.4438161238496,155.49801706742804,155.94685217433855,155.24287007821692
A,LeftTurning,Dirt,0.5,12,RestrictedStakes,153.11640019620893,153.27924649264855,153.04397638787046,153.97534740591664,154.16931250858894,153.64644867235546
A,LeftTurning,Dirt,0.75,4,Allowance,45.9720847501159,46.08837737417056,45.83109648615982,46.25963536187634,46.312454942485026,46.16221315306892
A,LeftTurning,Dirt,0.75,4,Claiming,46.34099377338172,46.42838646762275,46.12309777032657,46.68557565929283,46.851365999870765,46.66905513285335
A,LeftTurning,Dirt,0.75,4,Maiden,46.33898233584495,46.424632904538754,46.25678180958728,46.70011631693653,46.889301207141,46.563203464371725
A,LeftTurning,Dirt,0.75,4,RestrictedStakes,45.92210483652095,46.00577843649564,45.86913768942952,46.34450767990772,46.47803849376843,46.2341145369229
A,LeftTurning,Dirt,0.75,5,Allowance,58.77075336348989,58.87712269425019,58.651491134030216,58.85397222000632,58.94385274347527,58.71299151291597
A,LeftTurning,Dirt,0.75,5,Claiming,59.23600997035459,59.23600997035459,59.23600997035459,59.26804564571188,59.26804564571188,59.26804564571188
A,LeftTurning,Dirt,0.75,5,Maiden,59.18354943089295,59.22213501552777,59.040055472527335,59.42579743919414,59.51463599235064,59.28878917132212
A,LeftTurning,Dirt,0.75,5,RestrictedStakes,58.62740698271157,58.949444103826444,58.47815440015668,58.9951253037077,59.127613097618635,58.83545021547492
A,LeftTurning,Dirt,0.75,6,Allowance,70.4865890291866,70.99361631909547,70.40391397593822,71.11366558195392,71.2987589768282,70.83837773200631
A,LeftTurning,Dirt,0.75,6,Claiming,70.87597475119793,70.88989695287907,70.8620525495168,71.58511892575925,71.61794042286094,71.55229742865754
A,LeftTurning,Dirt,0.75,6,Maiden,71.42437505253497,71.63021553146248,71.35706116173714,71.73570437119582,71.88536739018197,71.56268168318121
A,LeftTurning,Dirt,0.75,6,RestrictedStakes,70.6002707691697,70.89116091945058,70.47966664556851,71.13044056295473,71.37356805023293,70.84111221469459
A,LeftTurning,Dirt,0.75,7,Allowance,84.6623367704505,84.71941679308947,84.54346421120655,85.23717849982735,85.63949018519327,84.84992832191496
A,LeftTurning,Dirt,0.75,7,Claiming,85.15620013199066,85.15620013199066,85.15620013199066,85.78412344018358,85.78412344018358,85.78412344018358
A,LeftTurning,Dirt,0.75,7,Maiden,85.39984620926286,85.5336415378444,85.15889307013651,85.84169021284644,86.0158179324329,85.72183616492774
A,LeftTurning,Dirt,0.75,7,RestrictedStakes,84.89502749615475,85.00571541683233,84.72882583840934,85.14673238496408,85.37508566049279,85.09789592220419
A,LeftTurning,Dirt,0.75,8,Allowance,98.46528051957264,98.76337067844212,98.16248571585152,98.5283330625079,98.98451634245772,98.36870653754572
A,LeftTurning,Dirt,0.75,8,Claiming,99.24892180662626,99.33274947098457,99.14904049441368,99.66842917326112,100.14165230907572,99.64790644921376
A,LeftTurning,Dirt,0.75,8,Maiden,98.94302814776762,99.10317135895278,98.71707873209397,99.46526190501385,99.51007881381537,99.28572134968594
A,LeftTurning,Dirt,0.75,8,RestrictedStakes,98.75976002180865,98.86895493236965,98.58485072304724,99.11101177782103,99.19695926230612,98.88338937136484
A,LeftTurning,Dirt,0.75,9,Allowance,112.21301226319912,112.786150710087,112.05093211040969,112.599135291638,112.81133979847064,112.24451425927562
A,LeftTurning,Dirt,0.75,9,Claiming,113.00151690895528,113.3361066068057,112.86702612524525,113.64523161115878,113.77414123853752,113.51632198378002
A,LeftTurning,Dirt,0.75,9,Maiden,113.27735277443317,113.31991602895675,113.23478951990958,113.80453656634126,113.84702807773972,113.76204505494277
A,LeftTurning,Dirt,0.75,9,RestrictedStakes,112.25384241079504,112.33707420351507,111.96439377701688,112.78526917778304,112.85603783167218,112.51639049483992
A,LeftTurning,Dirt,0.75,10,Allowance,125.36945712351228,125.9205829299118,125.30047119519436,125.94744009515132,126.05359991796989,125.63700271843035
A,LeftTurning,Dirt,0.75,10,Claiming,126.06896306117083,126.06896306117083,126.06896306117083,127.0934570084577,127.0934570084577,127.0934570084577
A,LeftTurning,Dirt,0.75,10,Maiden,127.02726866803216,127.04474603147912,126.49875883926576,127.52827549846168,127.9262188724676,127.32942028262418
A,LeftTurning,Dirt,0.75,10,RestrictedStakes,125.39599886250863,126.01577171017955,125.20938626084258,126.277672434688,126.69621773783086,125.74372653030308
A,LeftTurning,Dirt,0.75,11,Allowance,140.84943402239176,141.0860949430595,140.500737626667,141.55121855165618,141.77492669292852,141.2863890838181
A,LeftTurning,Dirt,0.75,11,Claiming,142.37072449575547,142.37072449575547,142.37072449575547,142.93594999685425,142.93594999685425,142.93594999685425
